sector,actividad,antiguedad,rfc,calle,colonia,exterior,departamento,municipio,estado,cp,pais,nombre,numero_cliente
COMERCIO,INSUMOS PARA LA INDUSTRIA,2011-01-25,CEL101125RG9,SALINA CRUZ,LA FE,603,B,SAN NICOLAS DE LOS GARZA,NL,66477,MEX,CSE ELECTROMEDICOS SA DE CV,FPDFIF0B
TRANSPORTE,TRANSPORTE,1997-07-10,CEE720608V98,PIEDRAS NEGRAS ESQUINA NAZAS,PARQUE INDUSTRIAL,SN,,GOMEZ PALACIO,DU,35070,MEX,"CONDUCTORES DE ENVAS ES ESPECIALIZADOS, S .A. DE C.V.",333BDN66
AGROINDUSTRIA,AGROINDUSTRIA,1995-01-19,PAN811008LS2,CALLE CUARTA,ENSENADA CENTRO,441,203,ENSENADA,BN,22800,MEX,PESQUERA ANCHOSAR SA DE CV,3PP336D6
TRANSPORTE,TRANSPORTE,2001-01-22,GTI97022684A,PONCIANO ARRIAGA,TABACALERA,15,301,CUAUHTEMOC,DF,6030,MEX,GRUPO TICAMEX SA DE CV,3860FNPD
COMERCIO,OTROS COMERCIANTES,2017-03-29,AEX160525G72,AV JUAREZ,SAN FELIPE,5730,,TORREON,CU,27085,MEX,AEMNSA EXPRESS SA DE CV,X6F038DF
COMERCIO,ROPA REGALOS Y CALZADO,2002-12-20,SOE961007SS9,MONTEVIDEO,TEPEYAC INSURGENTES,63,,GUSTAVO A MADERO,DF,7020,MEX,SERVICIOS  ORTOPEDIC OS ESPECIALIZADOS SA DE CV.....,N6F0INPI
AGROINDUSTRIA,AGROINDUSTRIA,2002-03-14,CMA011127FE1,ALFONSO REYES,EL ZAPOTE DEL VALLE,403,,TLAJOMULCO DE ZUNIGA,JA,45670,MEX,CONSULTORES EN MARKE TING AGROPECUARIO SA DE CV,NB608063
INMOBILIARIO,NO VIVIENDA,2002-02-15,ICM011127887,TENANCIGO,CONDESA,9,,CUAUHTEMOC,DF,6140,MEX,INTEGRADORA Y CONSTR UCTORA DE MEXICO SA DE CV,NBN6B86I
AGROINDUSTRIA,AGROINDUSTRIA,2008-03-13,DCA060919RM4,NORTE 4,DEL SANTISIMO,214,SN,IXTACZOQUITLAN,VE,94450,MEX,DON CAFE SA DE CV,6FFI6DF8
COMERCIO,SUPER Y ABARROTES,2001-12-17,CSV0011101R1,SECCION D BODEGA,LA MORENA,6 Y 7,,TULANCINGO DE BRAVO,HI,43625,MEX,COMERCIALIZADORA SUA REZ VARGAS SA DE CV,NNIFNI88
INMOBILIARIO,NO VIVIENDA,2011-12-01,CCE091120SBA,RETORNO INFONAVIT EDIFICIO 6,INFONAVIT SAN MARCOS,DEP 402,6,TULA DE ALLENDE,HI,42803,MEX,CONSERVICIOS CERON S A DE CV,4D60NP6B
COMERCIO,SUPER Y ABARROTES,1993-03-25,GDR921113RX0,NARCIZO MENDOZA,MEXICALTZINGO,140,0,MEXICALTZINGO,EM,52180,MEX,GRUPO DISTRIBUIDOR R ANGEL GARDU�O SA DE CV,36BN0068
SERVICIOS,SERVICIOS PROFESIONALES,1999-10-20,CCE850507DB5,86 B X AVIACION Y 77,CENTRO,546,101,MERIDA,YU,97000,MEX,COMERCIAL CER SA DE CV,3NDDI0N8
SERVICIOS,SERVICIOS PROFESIONALES,2002-05-21,LBA8102244C3,"VIA GUSTAVO BAZ 2160 EDIF.3, 1ER PISO",CENTRO INDUSTRIAL TL,OFIC 1,,TLALNEPANTLA DE BAZ,EM,54030,MEX,LINARES BELTRAN Y AS OCIADOS SC,N8NPB06I
COMERCIO,SUPER Y ABARROTES,1993-09-09,ANX880713LA2,EMILIO CARRANZA,SALINAS VICTORIA,417,,SALINAS VICTORIA,NL,65500,MEX,AVIGRAN DEL NORESTE SA DE CV,3PD0FIIN
INDUSTRIA,OTRAS INDUSTRIAS MANUFACTURERAS,1979-08-17,ART831031KZ0,ROSA BLANCA,ALFONSO XIII,38,,ALVARO OBREGON,DF,1460,MEX,"ARTELL,SA DE CV",3633DNI3
SERVICIOS,SERVICIOS PROFESIONALES,2016-07-13,MCB121212966,JORGE JIMENEZ CANTU,BOSQUE ESMERALDA,LTE1 MZ1,,ATIZAPAN DE ZARAGOZA,EM,52930,MEX,MONTANA COMERCIAL BU SSINES & LEASING SA DE CV,XIND8FFF
COMERCIO,INSUMOS PARA LA INDUSTRIA,1991-09-19,PMD900912732,AV 7 PTE,CENTRO,609,,DELICIAS,CH,33000,MEX,PROVEEDORA DE MADERA S DE DELICIAS SA DE CV,366I6FP3
COMERCIO,INSUMOS PARA LA INDUSTRIA,2005-03-11,EEL040626K53,MALAQUIAS HUITRON MZA UNICA,SAN LORENZO TETLIXTA,39 Y 41,LT 30,COACALCO DE BERRIOZABAL,EM,55714,MEX,EQUILIBRIO ELECTRICO . SA DE CV,8I6IN8BI
INDUSTRIA,OTRAS INDUSTRIAS MANUFACTURERAS,1998-01-13,IME851227PH4,RIO LERMA,IND TLALNEPANTLA,169,,TLALNEPANTLA DE BAZ,EM,54030,MEX,"INDUSTRIAS MEMPER,SA DE CV",D3I806N6
COMERCIO,INSUMOS PARA LA INDUSTRIA,1981-08-17,AAP750423J6A,CARRETERA MEXICO TEXCOCO,AMPLIACION TECAMACHA,KM 21 5,,LA PAZ,EM,56500,MEX,ACEROS APRECIADOS SA DE CV,3BN8N8NN
INMOBILIARIO,ALQUILER DE INMUEBLES,2007-07-11,IRC070216GA8,CARRETERA LIBRAMIENTO,SAN ANTONIO TLAYACAP,98,1A,CHAPALA,JA,45920,MEX,INMOBILIARIA RIBERA DE CHAPALA. S DE RL DE CV,6B8B8FBB
INMOBILIARIO,HOTELES,1979-02-01,IHY7807116A2,BOSQUES DE CIRUELOS,BOSQUES DE LAS LOMAS,190,A-207,MIGUEL HIDALGO,DF,11700,MEX,INMOBILIARIA HOTELER A DE YUCATAN SA DE C V,36BF8B30
COMERCIO,OTROS COMERCIANTES,2010-01-19,LCL0811124G1,AV LOS ALPES,LOMAS DE CHAPULTEPEC V SECCION,305,,MIGUEL HIDALGO,DF,11000,MEX,LUCKY CLOVER SA DE C V,FN6DIB30
SERVICIOS,SERVICIOS PROFESIONALES,2000-06-08,CSM9906168H1,ABELARDO L RODRIGUEZ,ALHUATE,SN,,HUATABAMPO,SO,85940,MEX,COMERCIALIZADORA DE SEMILLAS DEL MAYO SA DE CV,D80IB8NB
,,2006-03-08,CSP060214QY5,ORTIZ DE CAMPOS,SAN FELIPE I,2509,,CHIHUAHUA,CH,31203,MEX,C.P.I. SEGURIDAD PRI VADA S DE RL DE CV,IB30IB0N
COMERCIO,OTROS COMERCIANTES,2009-10-07,ALI081009RM7,LUIS SPOTA,INDEPENDENCIA,161,,BENITO JUAREZ,DF,3630,MEX,AG LIGHTING SA DE CV,FD80PDN6
COMERCIO,AUTOS Y REFACCIONES,2003-10-13,LSC030927DI1,CARR URUAPAN PATZCUARO,POLITECNICO DON VASC,KM 61,,URUAPAN,MI,60110,MEX,LLANTAS Y SERVICIOS CORTES DE URUAPAN S DE RL DE CV,BFBF3PFP
COMERCIO,SUPER Y ABARROTES,2002-01-21,GAV010517CZ5,CALLE PRINCIPAL,MORELIA,SN,,MEXICALI,BN,21700,MEX,GRUPO AGRICOLA 22 DE NOVIEMBRE SPR DE RL,NB06NFIN
INDUSTRIA,MINERIA,1991-08-28,CAT900331436,FRANCISCO TRUJILLO GURRIA,COL LA CEIBA,355,PB A,TEAPA,TA,86801,MEX,"CONSTRUCCIONES Y AGR EGADOS DE TEAPA,SA",36DN86NN
INDUSTRIA,OTRAS INDUSTRIAS MANUFACTURERAS,2001-07-10,JIN981001U94,XOCHIQUETZAL,STA ISABEL TOLA,256,,GUSTAVO A MADERO,DF,7010,MEX,"JEEDRA INTERNACIONAL ,SA DE CV",N33IIF68
COMERCIO,AUTOS Y REFACCIONES,2003-07-11,VNA030625J26,AV FFCC HIDALGO,GUSTAVO A MADERO,1002,,GUSTAVO A MADERO,DF,7050,MEX,VILLAUTOS NAM SA DE CV,BPNFPB60
COMERCIO,ROPA REGALOS Y CALZADO,1998-10-01,BER980701P63,FRANCISCO I MADERO,CENTRO AREA 1,60,LOC 2,CUAUHTEMOC,DF,6000,MEX,BERDICO SA DE CV,3D3I6N0B
INDUSTRIA,MAQUIRIA Y EQUIPO,1998-04-21,GSE801013MZ9,ACCESO B,BENITO JUAREZ,416 B,,SANTIAGO DE QUERETARO,QU,76120,MEX,"GRUPO SERVIBAR, S.A. DE C.V.",33IF66P8
COMERCIO,OTROS COMERCIANTES,2008-09-03,RRM080901L34,AV BAJA CALIFORNIA,HIPODROMO CONDESA,245,PISO 4,CUAUHTEMOC,DF,6170,MEX,REYMONT RECICLAJES D E MEXICO SA DE CV,P8NNDBDF
COMERCIO,OTROS COMERCIANTES,2009-09-23,MEX011101FA2,AV LAS ROSAS,STA MARIA EL CHICO,101,,TULANCINGO DE BRAVO,HI,43709,MEX,MEXYTUL SA DE CV,FDNB88I6
AGROINDUSTRIA,AGROINDUSTRIA,2000-01-12,HVE570222MA3,GRAL MIGUEL PI�A,SAN BENITO,24,,HERMOSILLO,SO,83190,MEX,"HIELERIA VERACRUZ, S A DE CV",80DFFB80
